Feature3,Feature4,Feature6,Feature7,Feature9,Feature14,Feature21,Feature22,Feature23,Feature24,Feature34,Feature38,Feature52,Feature58,Feature59,Feature61,Feature62,Feature65,Feature69,Feature81,Feature82,Feature96,Feature97,Feature100
0.004621321027151573,0.0032764636986389985,0,0.40781276447806974,6.534319484543093e-4,3.7719746634143814e-4,0.0021335642384738996,0,0.010233563859502819,6.924065885697587e-4,1.3000170742058818e-4,0.00201787096825229,2.8578312623266216e-5,0,0.001827684025132189,0.49251282603891355,0.03979366078844206,0.0015712073643965312,3.081324331295698e-4,0,0.01742046029026218,0.014588864766225238,0,0
0,0.002405037433344674,0,0.5490071352268332,0,0,0,0.0015881555037020707,3.550115994806901e-4,1.854141117729069e-4,0,0,0,0,2.6603734265327256e-4,0.05762803714476603,0.21775954067077352,4.004873090625652e-4,0.0822725969927959,0,0.0010420675885588035,0,0.05018530050402017,0.03690517857223617
0.006390912836181775,0.013600663583006677,0,0.7187090280448625,4.584822530724375e-4,0.005076765000335425,0.004204227202095979,0.0012051528183809766,0.04397961668394494,0,0.005356749063358398,0,2.6336002046383725e-4,0,0,0.04901314201750356,0.14654146454020325,0.0020769968929866675,0,0,0.0031234390436035587,0,0,0
0.015966967050780496,0.2569473146978432,0,0.15896078477845954,0.0100317057126205,0,0.006955482588281232,0,0.009303170081452027,0.0020103968227093145,0,0.037310378858635106,0.005486240255290966,7.822729418356295e-4,0.0224829013524235,0.2893579722825029,0.005004745019743354,0.006996264481294569,0,0.10378011999291481,0.00897192018029335,0.05965136290291949,0,0
2.794842550675199e-4,0.0042440659670452624,6.389492717493718e-5,0.014722864578367441,0.0016764744750023422,0,0.004454452482092928,0,0.6880234880890458,6.845666275979457e-4,1.0841255041474388e-4,0.04846053932700958,3.675173425533793e-4,0,2.8297052295062453e-5,0,0.04811226405645483,0.001555097485543452,0.013047812922787056,7.539134498876191e-4,0.03207962023304355,0.00661888496490587,0.13471834921371073,0
0,0.00441903655595218,1.0164969597857433e-4,0.010569855952568145,5.463801542310374e-5,4.0973769807764336e-5,0.0054927518740447425,3.65426987917398e-4,0.0011385059446982447,4.603984939229354e-5,3.353585796175929e-6,0,0,2.4908577418455964e-6,3.045337556059468e-6,0.2667802860260813,2.7926582344610975e-4,3.4800499782396106e-4,0.7039814999941616,0.0010164139838900073,6.27671570231543e-4,0,0.004729089177489029,0
0.0022153700102178794,0,2.622365523059345e-5,0.003221297190741365,0,0,0,2.0266552943332122e-4,0.018155492986128122,1.1736787088337056e-4,0,0.0029324324253294596,9.622417479426677e-5,1.2229736640479529e-5,8.030063476975825e-5,0.8928230993039825,0.003151119083113077,2.0989344268654658e-4,0,0.0061789969914314725,0,0.01366751554229929,3.6177913864195285e-4,0.05654799228367649
6.094341622493216e-5,0.18254915155291912,2.1689780544301222e-4,0.16195480932550937,0.04321828904578235,0.0022059988665021637,0.001389058411799951,0,0,0,0.0015364116134977395,0.30916403543316695,0,1.6905633597673287e-4,0.0018997141446417517,0,0.03303018047810901,0.001303180437423475,0,0.01667972072278701,0.15617751281349337,0,0.014558957171883425,0.07388608242483967
6.550133535741107e-5,0.0021097098960537602,0,0.09661177269475148,7.613623259445534e-4,5.424604265542079e-4,0.013971853155003855,3.3505025925389025e-5,0.11656875449478823,2.490295263778531e-4,0,0,1.1585893046265785e-4,0,2.585940458750098e-4,0.7616045694409104,0.0019322953947533367,0,5.413652843071769e-4,0,0.0024666827890871762,0,0,0.002166685233847501
0.0029697815522844997,0.0030964088020407807,1.5221228545132188e-4,5.312346344964178e-4,0,4.416299918860108e-4,0.00965821550114172,5.107450105372985e-4,0.005064796046628375,5.1498768787801995e-5,3.9022507260048076e-4,0,1.488027221783032e-4,2.3276708528360252e-4,0.0011718900182607704,0.09624854853107256,0.8703037561389785,1.810631587938515e-4,0,0,0.003658650939363748,0,0,0.005187773740213974
3.586504728403955e-4,0.007235123341268116,0,0.03387907820372208,0.012545189430177617,0.001930464926075166,0.003069778880601771,0.016136648810562634,0,0.004816576920497249,4.136077343506755e-5,0,0,0,0.002817079741499704,0.42177864844662794,0.0051509174289562434,1.559731902893624e-4,0.021326657164751555,0,0.07392103484694708,0.03506543438925885,0.007824573500818353,0.35194680953167085
0.0054152482546619505,0.007399818699366178,8.341594930353063e-4,0.19547979166708898,7.464734047725694e-4,4.270749047136805e-4,0.004743223736331002,0.02888064680858655,0.10205040214684853,0.012430026681620559,0.00518898654037262,0,0,0,0.0019003684912723886,0,0.2930043955203716,0.021902080276029842,0.129254948964239,0,0.142414800869262,0.020874001701085745,0,0.027053551840341392
0.03970858355960452,0.005149444006881781,0,0,6.831137288928895e-4,0.002065525243855942,9.015201337220707e-5,0,3.859328681518984e-4,0.0012370889896367086,0.015450254728824846,0,0.012934618168889685,0.003427465115684237,8.214321215003502e-5,0.04314504152990371,0.043199985150755384,6.813905501527541e-4,0.26653379772591024,0.09224454619415608,0.23620993237406596,0,0.005240145158268302,0.2315308396808428
0.0028889762372331486,0.0013390419734903545,4.919512017637766e-4,0.003076921159738168,8.055403057780881e-4,0,0.011825260472323802,0.004512645002202867,0.0026684794643304075,0.007513430792165444,0,0.00514826981783011,4.735326199620805e-4,7.469358986260986e-4,2.9935823601604753e-4,0.3046282326829355,0.0013047081596175437,9.060305035572846e-4,0,0.014222762569075424,0,0,0,0.637147922903354
0.0012033255932075255,0.001136875052385785,0,0.004492877272594482,0.0023866239556182252,0,4.2482905995918204e-4,0.013347422092991659,0,0.0013792622887905013,0,0,4.861816645478177e-4,0,3.3759175509576433e-4,0.016484795701672803,0.387205873805961,0.0021534376295167476,0,0.041193401553696295,0.01878188907955816,0.017793822900622494,0.4909688423841317,2.2294820964994844e-4
0.004448975824839827,0.17744571500033413,0,0.033658825807975856,0.002598311589959584,0.010406474265204139,0.018520040012486826,0.10925938202652531,0.019834674700545164,0.007157319033307117,0,0,0.11683683173884357,0,0.004918740983914762,0,0,0.00831970318247011,0.20209953185660043,0.2227346347289865,0.0037443690606791327,0,0,0.0580164701873275
5.995857077793523e-5,7.924097404837074e-4,2.3363712633865278e-4,0.004542821343614743,0.018069798726793443,3.8029588347952365e-4,0.0015488906357095452,0.008735382560809888,0.24389213100354468,1.515195601769525e-4,1.8785487515131418e-5,0,0.00030623359273935163,0.003286206521863974,0.002373781019942367,0,0.0010836268042908603,2.626568671032964e-4,0.6243506155628822,0.01752507017815648,0.010107215989019378,0,0,0.06227896282475784
1.3096444036715552e-4,0.004244776327872634,0.0018748486291860346,0.018362276687294427,2.889750442574682e-4,1.2179732370099595e-4,0.004245313471567504,0,0.017531179066976047,0.0010899014220719218,5.725317453927486e-4,3.0433023162148345e-4,2.217109225708602e-4,0,0.006378540297207703,0.7404536652825695,0.003364376761873324,4.179666438442517e-4,0,0.011924458988469012,0.009838229695409838,0.006387911392668489,0.09969291325738854,0.07255333236769002
0.0010348552531933642,0.0019825798292761386,0,0,0.0026635261278731433,7.260165004581893e-4,0.0024168571593010026,0,0.794202560572941,0.004871109588657605,0.0017635583650512602,0.0016150706992154782,0,4.5538565038370576e-4,0.003768087802230308,0.01612596651717254,0.13641019439859847,3.1297847411616776e-4,0,0,0,0,0.0022127372017999637,0.02943851585973167
0.005801263006244327,0.09725358312543707,0.011292859552755764,0.008423112482042536,0.04532173122912407,0,0.01056017980446717,0,0.0014843665922317803,0.0017948003567821807,0.014532271838271545,0.24193319479397593,0.00535003850865823,5.865046731784587e-4,0,0.3825343338464648,0.0032658129678249225,6.845465196200836e-4,0,0,0.15273543192071776,0,0,0.0164459687822034
0.0014695353856233448,0.027441819411624692,0,0.005556477975557273,0.006658764193545454,0.0028719893142020365,0,0,0.0038501647642310544,0.004381012395313025,0.005209160689251319,0.00258436698386598,2.2107756165690864e-4,0,0.010157901994686896,0,0.007186967180785347,0.04475264261637887,0.8053623521198215,0,0.007412081977858154,0,0.04705688972757773,0.017826795708020402
2.453047994211394e-4,2.405097851950542e-4,0.0017159610016245106,0.0010243782845345173,0.006055787684577787,0,0.0012167970443062376,4.913626550520124e-4,0.3493409955272747,6.613414975072797e-4,0.0024225120163751516,2.3876547743452664e-4,0.0010470151563493522,0,5.33566010599688e-4,0.5227822885642113,0.05146348774136386,2.7935678979072617e-4,0.046359735348839005,0,0,0,0.009451850259857323,0.0044289843556859524
0,0.0024281883028485014,0,0.7181267082139304,0.004649887752412645,0.0011301504579326498,0,0,5.811091568552376e-4,0.001915641779340308,0,0,0.0015797511851141628,0,0.008092443807433182,0,9.164974870596757e-5,3.7393216435940255e-4,0.01064956196115052,0.17079517447027187,0,0.019778759485799373,0.012931072685083414,0.04687596882876236
0.009882738006601274,0.006194152286118294,0.004877184051566683,0.0034667739337827523,0.004601704892331987,0,0,0.020186335111392503,0,0.0395527689296903,0.0023739017250832125,0.03516637251165513,0.0014402655913514195,9.847672686931269e-4,2.0418056550223796e-4,0,0,0.0010959631781917215,0.5907804815479933,0.05089697747438191,0.21621738811368116,0,0,0.01207804481198298
