Feature7,Feature12,Feature22,Feature27,Feature29,Feature36,Feature41,Feature44,Feature49,Feature56,Feature60,Feature68,Feature71,Feature79,Feature80,Feature82,Feature83,Feature96,Feature98,Feature100
0.0011622362476774715,0,1.476477349794888e-6,0.0053864815583077,2.0766871639885334e-4,1.5066497645504443e-5,0,4.88686000946282e-4,0.007838682919842401,8.415995436232725e-6,0,4.207973057682674e-5,2.7608805343475983e-5,0.0013045228553308769,0,1.8683852190756089e-4,0,9.179219932779914e-6,0.9824511106643112,8.699457889930036e-4
0,0.02563550835030561,0.02696506230550453,0.09264068402503829,0.021310533927129796,6.808799671014717e-4,0.016740956187523456,0.006237074637900922,2.983903089487709e-4,0,0,0.002529507112738798,0,0.01604542251497989,0.0027039078613230183,0.6810061598423295,0,0,0.047860653230516116,0.059345259728659894
0,0,0.015004240311348064,0.2830322726572486,0.009369600869695648,0,0.017295980857058434,0,0.027191175933848365,6.327608202021588e-4,0.0012564095278789476,0.002313272155014651,0.013547175583877356,0.03658738378483643,0,0.12773665845493404,0,0.00026497570763359466,0.4458122096659501,0.019955883670473604
0,1.057354948751713e-5,8.15222941093429e-5,4.7523990255019307e-5,1.0172871588816927e-4,2.7255940581858874e-6,2.6023781671788987e-5,0,6.701761343626679e-5,0,1.3877329564593705e-6,0,2.0126418032408898e-4,5.928967875847045e-6,1.2925587735990005e-6,1.1277651766969057e-4,0.0035094233320226197,2.664272113573827e-5,0.9942755630039611,0.0015286054463745787
0.007219546279646584,0,2.2329836581123295e-4,0,0,2.181721200136651e-4,0.0043267024642968605,3.9321119572243725e-4,0.10566888851417089,0,3.4277111002203425e-5,1.8945813207790998e-4,0,0,2.606813187667536e-4,0.007349169657444948,0.14104992835508084,0,0.7330666664859656,0
0.2551444014710478,0.007539432684361183,0.252422063384774,0.015291499420178926,0.003688429521609549,0,0.06941069396858895,0,0,0,2.781782358874644e-4,0.0016980111235279766,0,0.024545665456557925,3.4386087627338705e-4,0.12085744321427605,0,3.778086183068972e-5,0.24874253978108612,0
0.03033931695679388,1.8056726321650086e-4,0,0.11992188587717903,0.002264240014831466,3.1290063314068e-4,0.02348490390164093,0,0.5212196139250321,4.839025036741895e-5,5.7358605819323915e-5,3.369255135833901e-4,0,0.009005781824956026,0,0.003172154782915006,0,2.0641685224976225e-5,0.2896353187652992,0
0,0,4.607516369293568e-4,0,0.00640309434797913,0,0.002764991293276995,5.320294486400739e-4,0.3150043070406143,8.388473849545222e-4,5.618734377706437e-4,0.0018312389605384537,2.8419698216061804e-4,0.11185958487708617,1.980011460895468e-5,0.005423629623022195,0,0.0014879149618800278,0.5525277398905385,0
0.0024738815569877244,0,0,0.0013114385555924807,0,5.18258646450255e-4,0,7.589311254895562e-4,0.9472574019997391,0,4.197693090755633e-5,5.835753920152469e-4,0,0.0035300982421220483,1.6752371750899214e-5,0.019390301588732718,0.023507326523584064,0,6.100570666284315e-4,0
0,1.5806300488957175e-4,4.127000697170815e-4,0.1014861663025416,0.0010403037259968909,4.4909261405015475e-4,0.040536049378944325,0.008212088309061217,0.7389579973930123,7.987172934709687e-5,0,0,0.004423031830077753,0.0026817865607963007,0,0.01917970755670312,0,0,0.07224864093524869,0.010134500589613817
0.003031468800700359,0,0,0,1.2013723129797519e-4,3.9076299705450426e-6,0,0,0.0027223715053503925,0,1.5422064982989106e-6,2.9319879315372893e-5,2.892202330551874e-4,7.008416950038389e-4,1.2145796834234798e-5,3.5180626856670016e-4,0.004622053370018398,0,0.9874755353485939,6.396500347947838e-4
0.30726149197694613,0.13445219885230128,0,0.005783516427742163,0,0,0.259320974895935,0.005572532539291113,0.23356931834271996,9.821382266400292e-4,5.2526648479668576e-5,0,0.003722976838852411,1.1776394054599455e-4,0.0017245187623865664,0.04744004254815971,0,0,0,0
0.010263134597531889,0.009653517437913222,0,4.7985085222413296e-5,0,0,0.09252399534242489,0,0,0,3.32896798606883e-5,2.875232235735462e-4,0,8.468454115681054e-6,2.2162717476941567e-4,0.008695504387142302,0,1.9190292626029718e-5,0.8655550050798902,0.01269075924492961
0,0,0.0035075188120840227,0,9.96317166302877e-4,0,0.3035519645961141,0.0011663882153361122,0.0052036089005631945,0,1.4319434788181772e-4,3.784278429287495e-4,6.425691257793629e-5,1.2996503940224016e-4,2.3219079340414324e-5,0.662982418419155,0.013289338221112813,0,0,0.008563382447200712
0.17378045155837082,0.00433073678927044,0,0,0.004791627981161883,0.005072265698257047,0,0,0,6.784534096511021e-4,0.0029043916921697183,0.002831438696062983,0,0.30353427054344195,2.5412652977657276e-5,0.025791644887180692,0,1.2401248059174396e-5,0.4762469048433965,0
0,0,0.03589855425212917,0,0.0022338441545026425,0,0.56142714386584,0.0033281536812468852,0,0,9.029293893431268e-4,0.002032131404561923,0,0,0,0.33765168986521527,0,0,0,0.056525553387161025
0,0,0.13596218164534446,0.04673730113392871,0.009660530812234407,0.003059390004730706,0.3569582027858688,4.15782232861008e-4,0,8.395468008995851e-4,0,0.0018838641498470487,0,6.934499439843491e-5,0.0012757102163909095,0.19847431005939545,0.019231141177947504,1.324537926732643e-4,0.14443177542345714,0.08086846477002253
0.003950183958296455,0,2.447506603748869e-6,7.209864314091022e-4,3.858404787606789e-4,1.9353358830775273e-5,0.009329551819005074,0.005595582197228289,3.64250691245447e-4,0,0,3.7416817214872044e-4,9.816925672393077e-5,5.644559028216236e-5,3.3161198193856197e-6,0,0,0,0.9790997044196463,0
0,0,0,0,0.00722153915828543,6.417040729770087e-4,0.12379707494120414,0.06447115090764108,0.0015351605770619816,0.0017724745536702364,0.0019801266594382913,0.001609377171347503,0,0.015353536623608235,0.003529184267165563,0.21690723955311883,0,6.163184377816662e-5,0.42056018510938653,0.14055961456131696
0.16882304453916605,0,0.012225659200689298,0,0,0,0.6263255721535391,0.004338618956828405,0.005988931259540567,9.452810663791526e-6,4.060734011192612e-5,0.0026257745159132036,0,0,0,0.14841118710315804,0,0,0,0.031211152120389527
0,0.00614707967012565,1.0656687881923979e-4,0,0,0.0011512230005955091,0.10150166400601422,0.0019136075415339376,0.6580493512392624,0.02474866621832499,2.0591859958839722e-4,5.368192963278481e-4,0,0.07604509240628014,1.1967490339347275e-5,0.01784112167059051,0.11166984565186736,7.10763303304293e-5,0,0
0,0,0.008693100862537636,0,0.011060158288313339,0.005379219770765936,0.6152470857860459,0,0,0.02601338728945125,3.733897254391586e-4,0.004315708647124908,0.033782254766590705,0,0,0.05438892121661525,0,0.003838431817739689,0,0.2369083418293762
0,0,0,2.846526356816396e-4,0,0,0.00107952290545862,0,0.004134591928394036,0,3.5355977260244844e-5,6.723033543943567e-5,0,0.00500374683519657,0,0.0016908804462542088,0.00251271007097992,0,0.9851913088653353,0
0,0,0.012297204983574268,0.006497314823864443,0.0013841295379727959,9.90292690293674e-5,0.6374567567546505,0,0.006188868138978191,0.03514675760454734,3.5766657136609026e-5,0.0010079892737945427,7.139806615237311e-4,0,0.0019933552733984584,0.06463218227964816,0,7.961246388690081e-4,0.20522706560654125,0.02652347449647124
0.055252712443402914,0.011160032863957517,8.777972886297227e-4,0,0.004207629870093177,4.0140404129342843e-4,0.027449439226843463,0,4.2729902629587354e-4,0,7.748689499690959e-4,0,0,5.159649067933061e-4,0.001713536450523854,0.0414586630113089,0.11075067651476908,0,0.7193241411446238,0.02568583426149571
0,0,0,0.0112000255900797,9.926211681301302e-4,0,0.9489504372043135,3.887817005027122e-4,0,0,3.9099035382011857e-4,0.0014524465553098125,0,0.0036290638221927705,0,0.03298539113424755,0,1.0242471403704207e-5,0,0
0,0,0,0,0.02051877314174479,0,0.2169986650366609,0,0,4.961798505300254e-4,8.26563766983221e-4,0.005409966619016196,0.006445993906978193,0.008035284839616508,0,0.5420559222286581,0,0.0010206512342735505,0,0.19819199937553858
0.0177336174448766,0,0,0,0,0.003189472295050816,0,9.206908769758857e-4,0.5145304343884812,0.0022204851849828293,0,0.027137775801222824,0,0.004431329562952739,6.184582661043531e-4,0.3031171329416103,0.029552802398556514,7.567728390297383e-4,0.09579102800015617,0
0,0,0,0.002808031359328046,0,0,0.0182177142647574,0.03274783455301656,0,0.00633170919748237,3.483147499743179e-4,0,0.0019653792600571535,0.0026616655080818714,0.0013975091250966612,0.18576892592565145,0,0,0.7477529160565541,0
0.0011672498425279977,4.64768618458645e-5,0,0.039632238866328544,0,3.8730518455918046e-5,5.424089190928315e-4,6.305516979190965e-6,0.9528868056783633,5.329494445652699e-4,2.323487933338676e-6,3.6371368700647224e-5,8.335125641822431e-5,3.2686185277802324e-6,1.853654229801915e-4,5.901561662663687e-4,0,1.158731812314688e-6,0.003344809173577449,9.000301256247528e-4
0,0,5.368605303165524e-4,0,0,0,0.19069129192645023,0,0,0,1.0521779171867347e-4,0,0.002630670033199146,0,3.4449003216198444e-6,0.7912738090155448,0,0.0011140004556670288,0,0.01364470534678194
0,0.13780709213562464,0.08250970682876907,0.16029959372041502,0.030525418407950346,0,0.013564481107077513,0,0.210506436587335,0,0.007996547220251268,0.001516119852458823,0,0.008071441392014126,9.561098586755771e-4,0.18308823039961114,0,0,0,0.16315882248981753
0,0,0.004293743250578817,0.0012383260358856188,0,0,0.040240568470863165,0,0.0042921711234552955,0.06725238960522005,5.309389221005483e-4,0.0027174789981208158,0.010128650174961402,0.6580363599673973,0,0.14588560691207686,0.06512085308049154,0,2.6291345884860915e-4,0
