Feature7,Feature12,Feature22,Feature27,Feature29,Feature36,Feature41,Feature44,Feature49,Feature56,Feature60,Feature68,Feature71,Feature79,Feature80,Feature82,Feature83,Feature91,Feature96,Feature98,Feature100
0.08753886200880788,0,1.1120729304485828e-4,0,0.015641469748266103,0.0011347985927830462,0.5175311946468796,0.03680750491817754,0.04484776877003391,6.338871848398762e-4,0,0.0031694173501245655,0.0020794768757386685,0.0982557947649177,0,0.08676381029846653,0,0,6.913727468488896e-4,0.03926969594850733,0.06552373885256357
0,0.001872825794562146,0.001969957589591636,0.013518360220272994,0.00155686078423893,4.974231632013102e-5,0.0036980152427489007,4.556552616336531e-4,0.16351643471828842,0,0,1.8479548380826878e-4,0,0.001172213195855908,1.975364919473011e-4,0.019978381016238715,0,0.7868031667767494,0,6.90532219487587e-4,0.004335522888255867
0,0,0.00771273621415857,0.4581997671279526,0.004816322482202403,0,0.3734322731566557,0,0,3.252625385627001e-4,6.458411132056305e-4,0.0011891077157496648,0.006963750883562599,0.01880727274710469,0,0.006919320962871463,0,0,1.362073449724895e-4,0.11059407309413587,0.010258064618865657
0,1.305739632079307e-4,0.0010067280665046587,3.195343860739342e-4,0.0012562594634142085,3.365867050544147e-5,0,0,0.8871721174746393,0,1.7137271851149046e-5,0,0.0024854342156091745,7.321749751072897e-5,1.5961955060337587e-5,0.017700352136262677,0.043338267208902846,0,3.290139884855209e-4,0.027244821477321334,0.018876922224650757
0.0059609512333508525,0,1.843704046666016e-4,0.8489507528327812,0,1.8013782549530116e-4,0,3.246620592649995e-4,1.8280617044300195e-5,0,2.830152743536271e-5,1.564295929873104e-4,0,0,2.1523632766161507e-4,0.0025192606515491043,0.11646046881957624,0.0014305826953179511,0,0.023570565412869195,0
0.10072335705306218,0.0029763418905768553,0.09964865962877235,0,0.001456081346594982,0,0.671637969927449,0,5.769576279423158e-4,0,1.098164240176889e-4,6.703238624445656e-4,0,0.009689892514323667,1.3574596039644376e-4,0.11153026752075401,0,0,1.4914751074311872e-5,8.296714925917049e-4,0
0.013963018173901264,8.310219974609642e-5,0,0.23525520175197465,0.0010420677737138888,1.4400578738771406e-4,0.004181580419165514,0,0.47368011650357256,2.227057208578981e-5,2.6398064815546658e-5,1.5506272194972456e-4,0,0.004144717413089024,0,0.007862756859984974,0,0.001120818782794011,9.49989171960416e-6,0.2583093830840996,0
0,0,4.869708851373329e-4,0.01287738773456646,0.006767464882021299,0,0,5.623047879981964e-4,0,8.865823163837651e-4,5.938470607501666e-4,0.001935446314319023,3.0036932017961344e-4,0.1182249973580475,2.0926847707372633e-5,0.35370430020652494,0,0,0.0015725853321425975,0.5020668169542217,0
0.018567070273457904,0,0,0.0015971222888349628,0,0.0038896545718970364,0.13756356889129945,0.005695958846484504,0,0,3.150468638335674e-4,0.004379872303426367,0,0.02649422804764275,1.2573053979381767e-4,0.007022508331848297,0.17642808414641975,0,0,0.6179211548950616,0
0,1.9912730450192092e-4,5.199183231264707e-4,0,0.0013105715468701225,5.657655424810208e-4,0.3552411130724836,0.01034556448207182,0.11994570271014594,1.0062216760908667e-4,0,0,0.005572122374017254,0.0033785067509878534,0,0.48290680611650605,0,0,0,0.007146765840918119,0.012767413768280635
0.06090778199993705,0,0,0,0.0024137778664529144,7.851147085115693e-5,0,0,0.7285763076262595,0,3.098576412053958e-5,5.890902842848395e-4,0.005810966255310489,0.01408119825145431,2.4403139020404534e-4,0.02747250687567458,0.09286555051733196,0.0019763419998388506,0,0.05210120441014359,0.012851745288136233
0.21690390167621743,0.09491331416889333,0,0.22779514053493405,0,0,0.009102954151366154,0.003933796071264963,0,6.933169918981161e-4,3.707993124654261e-5,0,0.0026281464592311063,8.313263734040855e-5,0.0012173827760478143,6.318931435289341e-4,0,0.0010229261462340639,0,0.44103701531179706,0
0.0476637589133602,0.044832592172889,0,0,0,0,0,0,0,0,1.5460298801541264e-4,0.0013353072085498477,0,3.932895466807411e-5,0.001029274645720708,0.03831426361116496,0,0,8.912301329692002e-5,0.8076036839732076,0.0589380645191273
0,0,0.008460042629791331,0.8078919752784052,0.0024030906607474885,0,0,0.0028132975340385315,5.02201627415234e-4,0,3.453809807809886e-4,9.127579508475937e-4,1.5498597407240177e-4,3.1347223853438964e-4,5.6003805415857244e-5,0.0320337058685501,0.03205353239589025,0,0,0.09140490102372868,0.020654652031781996
0.2590098695482598,0.006454716631116699,0,4.527162200172067e-5,0.007141648713622239,0.0075599232539592725,0.02687235598726439,0,0,0.0010111961820359274,0.004328830467178587,0.004220098179770452,0,0.45240054972740185,3.78761124947782e-5,0.21890778439328024,0,0,1.8483354216417613e-5,0.011991395827397647,0
0,0,4.381895767384655e-4,8.225819379843127e-4,2.7267037488094722e-5,0,0,4.062453999298988e-5,0.9970557579160351,0,1.1021453514872937e-5,2.4804865226267953e-5,0,0,0,6.315379630747578e-5,0,1.447575688606065e-4,0,6.818717859689947e-4,6.899695218828642e-4
0,0,0.036526146524215805,0.013682549338747107,0.002595294953929257,8.2190301917196e-4,0.04819965440739554,1.1169961069955233e-4,0.003469069120744658,2.2554367025078484e-4,0,5.060988073030579e-4,0,1.8629485019041603e-5,3.4271867163679744e-4,0.0026603907407343912,0.005166432841787541,0.7371564649265967,3.558362024148511e-5,0.12675656285808748,0.021725257403438922
0.018776224624569845,0,1.163361864846548e-5,1.1133392119050567e-4,0.0018339974985839334,9.199141520569857e-5,0.13641245785859707,0.026597219104122945,0,0,0,0.0017785160695804347,4.6662333575738126e-4,2.683001838378633e-4,1.5762357213769932e-5,0.04001798331444928,0,0.2844069532790571,0,0.48921100341918566,0
0,0,0,0.008201094501033054,0.010836979353997345,9.629711392271853e-4,0.012776124550839344,0.09674842384714502,0,0.0026598581995601234,0.002971470659687912,0.0024151066408990307,0,0.023040235018318266,0.0052960589427595,0.45026892387888345,0,0,9.248762679718793e-5,0.17279993519195258,0.21093033044889997
0.30843388552460166,0,0.02233585812091778,0.002723203312468732,0,0,0.06539730683884128,0.007926507345712683,0.3820490420648979,1.7269959383330595e-5,7.418821124644941e-5,0.004797199568727728,0,0,0,0.08605402814083755,0,6.993160064106763e-4,0,0.06247049537157667,0.05702169953437747
0,0.018288816698471613,3.170582158427556e-4,0.017427491762303734,0,0.0034251234027889823,0.005266891806024645,0.005693373022317069,0.0015002448257004416,0.07363233344742877,6.126498638012916e-4,0.0015971469767109506,0,0.22624967146527397,3.560572644287499e-5,0.30385276759173346,0.3322405837358983,0,2.1146659011606221e-4,0.009648774869145112,0
0,0,0.010871863119031908,0,0.0138321789758077,0.006727420049499541,0,0,0,0.03253315362899415,4.669728384863617e-4,0.005397359862159456,0.042249141644886475,0,0,0.4674221293532922,0,0,0.004800462570731166,0.11941435533516169,0.29628496262194937
0,0,0,2.9216316829571744e-4,0,0,0.10249477196019245,0,0.7755597789850203,0,4.069656699266168e-4,7.738560951125477e-4,0,0.057595726118386426,0,0.007416906218204687,0.028922598570554077,8.309921523983707e-4,0,0.025706241061908896,0
0,0,0.021890906803450075,0.5709707314077943,0.002463962401223471,1.7628725405743125e-4,0.25926077719907836,0,2.1901814688117565e-4,0.06256660730566811,6.367012334057123e-5,0.0017943751674455767,0.0012709948432801316,0,0.003548477444624021,0.0041998405176713015,0,0,0.0014172236940581814,0.02294128400324855,0.047215843688178875
0.024269737796817185,0.004902041174712516,3.855722025524572e-4,0.005182831727169339,0.0018482001910371387,1.7631660785437985e-4,0,0,0.058338662626638865,0,3.4036095986977015e-4,0,0,2.2663743455237197e-4,7.526703852250093e-4,0.04196692574885807,0.04864720229955867,0,0,0.8016803456507768,0.0112824951943773
0,0,0,0,6.5522065666637e-4,0,0.04080209449171443,2.5663144136158454e-4,0.8858494755556802,0,2.580893543332628e-4,9.587474217738427e-4,0,0.002395513673298558,0,0.013191048132891582,0,0.05368825262305523,6.760966876883871e-6,0.0019381656823480903,0
0,0,0,0,0.018377320447584628,0,0,0,0.06869078427461182,4.4439577599665115e-4,7.402989989352578e-4,0.004845352569648932,0.005773254317565067,0.00719667805502598,0,0.10863528652095954,0,0,9.141304242653583e-4,0.6068749128786287,0.17750758573677816
0.024372033782683145,0,0,0.21360676377541238,0,0.0043834218689750995,0,0.0012653430258555236,0,0.0030517033600487445,0,0.0372965521936061,0,0.006090156965785285,8.499724211108255e-4,0.056939790346893566,0.04061562175170689,0,0.0010400637803303057,0.610488576727592,0
0,0,0,8.712684561695564e-6,0,0,1.1828040559714907e-4,1.98361892096333e-5,2.34576959379095e-5,3.83527593124677e-6,2.1098302771168248e-7,0,1.1904797799093448e-6,1.6122379189864125e-6,8.465065188578379e-7,1.52563283819922e-6,0,0,0,0.9998204919086787,0
0.19786829614976545,0.007878602445481733,0,0,0,0.006565468177123125,0.02097698092414867,0.0010688901857667252,0,0.09034381045766936,3.938699169138986e-4,0.006165552987221203,0.01412942669899795,5.540852997287222e-4,0.03142252761476925,0.24955085857397746,0,0,1.9642434810757976e-4,0.22031510430013299,0.15257010192019585
0,0,2.4161451272738227e-4,0,0,0,0,0,0.6278012539537247,0,4.735335164492102e-5,0,0.0011839351606704272,0,1.5503801557395262e-6,0.33370773236179485,0,0,5.01356799531091e-4,0.03037439288276486,0.006140810596986031
0,0.031925297003725775,0.019114741160102002,0.03165862538050747,0.0070717191236987515,0,0,0,0,0,0.0018525327039017002,3.51234293046085e-4,0,0.0018698831801386138,2.214986959914036e-4,0.005195098083560204,0,0,0,0.8629409248378573,0.03779844553747057
0,0,0.0011889863400115508,0.011667705882860336,0,0,0.5299798520898958,0,0.006563155500658502,0.018622951561661764,1.4702302604444487e-4,7.525008412178263e-4,0.0028047384293789063,0.18221775210399185,0,0.010526694833080389,0.01803270485541163,0.08877358489392065,0,0.12872234964186632,0
0,2.0185062303934233e-5,0,1.2073757355273689e-4,1.6530799256150763e-4,0,0.007035141229073216,2.5396942116532298e-5,0.9796303925961839,6.387409152680438e-5,2.5329015846324843e-5,1.1563041770757292e-4,0,8.250082172725136e-6,0,3.3829839910712474e-4,0,0,1.1760469961388962e-5,0.010810859193779514,0.0016288369341066649
