Feature7,Feature12,Feature22,Feature27,Feature29,Feature36,Feature41,Feature44,Feature49,Feature56,Feature60,Feature68,Feature71,Feature79,Feature80,Feature82,Feature83,Feature91,Feature96,Feature98,Feature100
0.037356327891328554,0,4.745659250714038e-5,0,0.006674839713586107,4.8426387263700505e-4,0.0016102069749151428,0.015707232091351393,0.13785296523387328,2.705049732152907e-4,0,0.0013525169397770574,8.873958174680533e-4,0.041929671031044904,0,0.03702558237830905,0,0,2.95036357952848e-4,0.6905444043667628,0.02796159576527128
0,0.002241173416269761,0.002357409105422873,0.016177153072754264,0.0018630643664777867,5.9525641586126623e-5,0.00374462597512858,5.452735979619164e-4,0,0,0,2.211410836823873e-4,0,0.0014027642402090505,2.3638799496510587e-4,0.02390773160200453,0,0.941551716308551,0,5.037994992148779e-4,0.005188234095771749
0,0,0.014267954320941925,0.8476334682945046,0.008909817121041849,0,0.045489393376541766,0,0,6.017100693793809e-4,0.0011947551745498822,0.0021997555860720896,0.012882390470802555,0.034791972784519856,0,0.012800198618092683,0,0,2.5197285662080385e-4,0,0.018976611326932725
0,0.001340695206186235,0.010336788893713807,0.0032808854774423017,0.012898904183856648,3.455973693728442e-4,0.07811893401416828,0,0,0,1.7596048747757045e-4,0,0.025519710486631507,7.51775817398371e-4,1.6389267894608052e-4,0.18174203090631405,0.44498463295372437,0,0.0033782192582170116,0.043139264336349105,0.19382270793020182
9.138878673006027e-4,0,2.8266273169860094e-5,0.13015469554738537,0,2.7617366208434352e-5,2.621405867075273e-4,4.977472643545257e-5,0.028125070389409958,0,4.338975699808545e-6,2.3982599676044033e-5,0,0,3.299840256228943e-5,3.862339505710609e-4,0.017854836469534736,2.1932609700051864e-4,0,0.8219168307483383,0
0.24155345152113664,0.007137824608020521,0.2389761260648244,0,0.0034919554436640904,0,0.20490999595432025,0,0,0,2.633603270511221e-4,0.0016075620129019697,0,0.023238174840326645,3.255442056656077e-4,0.2674704443629822,0,0,3.576836302905061e-5,0.010989792296077506,0
0.03797056798445379,2.2598536260697168e-4,0,0.6397451840688919,0.002833764502302897,3.9160455655499896e-4,0.1610952420273903,0,0.11939340905356843,6.0561854242712996e-5,7.178602091990802e-5,4.2167241726087483e-4,0,0.011271006909108325,0,0.021381719924659683,0,0.0030479173814927448,2.5833690101356886e-5,0.002063744246445173,0
0,0,3.3265060570933066e-4,0.00879656455980809,0.004622866296177312,0,0.0016358082936665337,3.8411131759572383e-4,0.2846783906343606,6.056258260143593e-4,4.0565789554654477e-4,0.0013221065333188162,2.0518277240757411e-4,0.08075968847716133,1.429516379296727e-5,0.24161598423386985,0,0,0.0010742356047000964,0.3735468317858709,0
9.809334614432489e-4,0,0,8.437899313467024e-5,0,2.0549781235458894e-4,0,3.0092828568153843e-4,0.98297501340568,0,1.6644522054665873e-5,2.3139694286724398e-4,0,0.0013997402091052056,6.6425823672023145e-6,3.710124055393625e-4,0.009321029582407946,0,0,0.004106781797364352,0
0,4.481975472793617e-5,1.17023688837527e-4,0,2.94984635236521e-4,1.2734302265047983e-4,0.0036743146754618966,0.0023285890589858005,0.6642233036343309,2.264812896309277e-5,0,0,0.0012541783696725004,7.604373709808912e-4,0,0.10869310294100847,0,0,0,0.21558555362106632,0.002873701098077653
0.03976359663572295,0,0,0,0.001575832944466256,5.125615078555891e-5,0.20561686158917544,0,0.0112811854380737,0,2.0229031258108626e-5,3.845871196943262e-4,0.0037936846598715834,0.009192898986521217,1.5931569740199045e-4,0.017935404083136344,0.06062720018485253,0.001290253289734164,0,0.6399174425839687,0.008390251605337237
0.027008062976993964,0.011818251062423159,0,0.028364199324567813,0,0,0,4.898215809412745e-4,0.0451978324459695,8.632923997907717e-5,4.617054421566612e-6,0,3.2724697220815464e-4,1.0351365223872026e-5,1.5158395228725461e-4,7.86809720031485e-5,0,1.2737093968712387e-4,0,0.886335652113294,0
0.002440681551777402,0.0022957081675750715,0,0,0,0,0.010065841556744224,0,2.1327952487310727e-4,0,7.916636650180615e-6,6.837605224940569e-5,0,2.0138876223241444e-6,5.270527748533487e-5,0.0019619291154876744,0,0,4.563653798014521e-6,0.9798689883024937,0.0030179962732435526
0,0,0.004057456595089324,0.3874669155531145,0.0011525280044939862,0,0,0.0013492641979411305,0,0,1.656455409992191e-4,4.377608872023064e-4,7.43316423054384e-5,1.5034203221859474e-4,2.685955846540149e-5,0.015363441631346255,0.015372950481080738,0,0,0.5644764835667536,0.009906020308989395
0.2634589187667927,0.006565590213013819,0,4.60492590656664e-5,0.007264321825205956,0.007689781126571844,0,0,0,0.0010285656420928623,0.004403187401301417,0.0042925874039903104,0,0.46017149805357577,3.852671584433342e-5,0.22266799441455987,0,0,1.8800845409999713e-5,0.022354178332575428,0
0,0,0.03279492453746688,0.06156356521045181,0.0020407159007254628,0,0.2826195815941008,0.003040416281363494,0.03970093556329506,0,8.248661207411332e-4,0.001856442340122156,0,0,0,0.004726547809680964,0,0.010833926225142052,0,0.5083594735652802,0.05163860485163004
0,0,0.03647270182560926,0.013662529167030013,0.002591497543859846,8.207004187521667e-4,0.07203830569211336,1.1153617292698718e-4,0,2.2521365696917092e-4,0,5.053582885022719e-4,0,1.8602226539656767e-5,3.422172090447794e-4,0.002656498083149504,0.005158873368030372,0.7360778648320657,3.553155463807208e-5,0.10758910074044155,0.021693469220327225
0.03155052984859445,0,1.9548489632749272e-5,1.8707936626863745e-4,0.003081748007296519,1.5457728852816865e-4,0.30057935733683944,0.04469249660212042,7.1769065822435e-4,0,0,0.0029885200811921968,7.840880569568307e-4,4.508367964176832e-4,2.6486193667841757e-5,0.06724400683782361,0,0.47790172135226416,0,0.06962131308417299,0
0,0,0,0.006364218291525406,0.00840971924185307,7.472854431452685e-4,0.13932454024000518,0.07507877011375648,0.001861165126681381,0.002064104761184259,0.002305922450074771,0.0018741725092983588,0,0.01787969704850427,0.0041098508488423115,0.3494179613580215,0,0,7.177230382216593e-5,0.22680453825406227,0.16368628200922336
0.11525042560147582,0,0.008346090606197763,0.0010175611548891776,0,0,0.8147703503280893,0.0029618449463580253,0.002103557085436525,6.4531501318790524e-6,2.7721412341652374e-5,0.001792537454342018,0,0,0,0.032155232720569,0,2.6130873146986376e-4,0,0,0.021306916808699
0,0.006323624018300016,1.0962748339372625e-4,0.006025808410887476,0,0.001184286166383194,0.13551582261572864,0.0019685664186286206,0.5243956922407457,0.025459448798048706,2.1183258913988918e-4,5.522367657350218e-4,0,0.07822911018239134,1.2311197090296203e-5,0.10506150785198656,0.1148770076164589,0,7.31176450818542e-5,0,0
0,0,5.17595860403146e-4,0,6.585328107838626e-4,3.202840884483243e-4,0,0,0.17067723936349408,0.0015488629188817823,2.2231995148847158e-5,2.569615797378243e-4,0.002011429005457038,0,0,0.022253385327356035,0,0,2.2854404322669098e-4,0.787399175008292,0.014105757998770455
0,0,0,8.410738131181935e-4,0,0,0,0,0.07208540299023529,0,0.0011715650874477355,0.0022277623169196935,0,0.16580548899535077,0,0.02135164959660966,0.08326183073288948,0.002392244519957985,0,0.6508629819474713,0
0,0,0.007816662150448237,0.2038785028542379,8.798156154378963e-4,6.294750230173205e-5,0.6431863352134695,0,0.0024279457952931503,0.02234087585312347,2.2734912157781277e-5,6.407237754475074e-4,4.538385446562185e-4,0,0.0012670671700425124,0.0014996516456424857,0,0,5.060529884635523e-4,0.09815732062600671,0.01685952535327141
0.011064603960982172,0.0022348467318726003,1.7578285168643327e-4,0.0023628594976029156,8.425967896991192e-4,8.038296309523195e-5,0.002158554501425585,0,2.136826090851089e-4,0,1.5517098933110987e-4,0,0,1.0332429122427004e-4,3.431433744935958e-4,0.01913277418810663,0.02217832066257376,0,0,0.9338102528511634,0.0051437037376580504
0,0,0,0,0.0010293761889582258,0,0.33141367853495174,4.0317760496088337e-4,0.0015890427216088217,0,4.0546804083672157e-4,0.0015062281037052313,0,0.0037634416902594496,0,0.020723630607870903,0,0.08434625544030658,1.0621732154795672e-5,0.5548090793343867,0
0,0,0,0,0.0012062557580423544,0,0.0050264216003392094,0,0.825590403822345,2.9169375653789377e-5,4.8591955104968147e-5,3.180406226008062e-4,3.789465000117056e-4,4.723775899436475e-4,0,0.007130633666983346,0,0,6.0001951373532035e-5,0.14808786403236646,0.01165129312523512
0.018418498139283,0,0,0.16142747118343123,0,0.0033126512238291325,0,9.562483941670021e-4,0.45913534152978136,0.0023062413732020315,0,0.028185849539881055,0,0.0046024696068638305,6.42343416895925e-4,0.0430306896792741,0.03069414560680453,0,7.859997640558181e-4,0.24650205054253094,0
0,0,0,5.510813698672499e-4,0,0,0,0.0012546482367385677,7.849724918941872e-4,2.425829948328862e-4,1.3344775092771981e-5,0,7.52984023771464e-5,1.0197480175663008e-4,5.354193288078256e-5,9.649698992725495e-5,0,0,0,0.9968260580046325,0
4.7672909318034973e-4,1.8982116248275206e-5,0,0,0,1.5818348625265917e-5,8.81157353013813e-5,2.57530417396557e-6,0.9894294311842484,2.176676287814346e-4,9.489607581158987e-7,1.4854822837957939e-5,3.404238530599739e-5,1.3349717343515374e-6,7.57070909625923e-5,6.012491987109629e-4,0,0,4.732501526216779e-7,0.008654478901474073,3.6759100750428497e-4
0,0,6.70329158661363e-4,0,0,0,0.04844652894449562,0,0,0,1.3137593437423598e-4,0,0.003284679596449883,0,4.30133527026487e-6,0.9258302448299992,0,0,0.0013909515526413262,0.0032046799189499346,0.017036908729158137
0,0.007521861301495097,0.004503589482769335,0.00745903128420008,0.001666154911742395,0,4.6168606965391604e-4,0,0.017732272986328883,0,4.364718691138904e-4,8.275367450185393e-5,0,4.405597833392059e-4,5.2186905873261865e-5,0.0012240076334338397,0,0,0,0.9495138009263122,0.00890562317123595
0,0,0.003418640280750235,0.033547643040798374,0,0,0.033968113742342806,0,0.003271746404207624,0.053545755920575935,4.2272885912923713e-4,0.0021636326680260316,0.008064341404922893,0.523922711512746,0,0.030266944008107262,0.05184864545120985,0.2552467955031421,0,3.1230120404159657e-4,0
0,2.727727338167866e-4,0,0.00163159853145295,0.002233905071671677,0,0.5562792683282001,3.4320396080040624e-4,0.3870171965856697,8.631685304451188e-4,0.00034228603277306223,0.0015625825016316185,0,1.114882597131617e-4,0,0.004571627165713871,0,0,1.589262145459424e-4,0.02260053530780795,0.022011440775757722
0,8.763093657198393e-6,1.360284557654961e-5,1.2372741652805328e-4,8.827978247521505e-6,0,0.9993580999314531,7.212006802554413e-6,0,2.532392510565137e-8,2.138921520327083e-6,0,0,0,3.0774543176816405e-7,2.1766520390962058e-4,1.7847450258486598e-4,0,0,0,8.115503036329705e-5
0,0,0,0.03535156957097932,5.869406905613039e-4,0,0,0.006137249563270088,0.4031656911643348,2.4344332840790908e-5,4.4347035734998945e-5,1.7996531199619952e-4,0,0.0015269345779350776,0,0.003346791619857266,0.001272269291981061,0.012668066141324182,3.655820901908279e-6,0.5327946573045288,0.0028975175737542855
0.0171585796044207,0.8472219420163158,2.3485971104669463e-5,0,0.0018853972150302486,2.5585678549073917e-5,0.001352933596704061,6.209349803274971e-5,0,0,1.0019556939751582e-5,7.978756701660993e-5,0,6.478160447239506e-5,5.332511632864127e-4,0.006282314156132509,0,1.706378861529715e-4,1.9307163743690345e-4,0.12493611884840516,0
0,0,0,0.595612567648191,0,0,0.204694682522638,0,0,0.0027498783399939625,0.0019607135543348976,0.002753313062176689,0.04424693769520668,0.0014839216427924668,0,0.006871730120620428,0,0,1.1214131229128026e-4,0,0.13951411410175463
0,0,0.02774296861971215,0,0,0,0.010873630341399104,0.004667902581915135,0.0798025918726477,0.029161053539029386,0,0,0,0.001409894047936243,0,0.0072709192214151135,0,0,6.534494035969923e-6,0.7929712616480392,0.04609324363386991
0.04809438275230084,2.5243819938092286e-4,0.004475541326174763,0,0.001361489494620778,2.103616904714254e-4,0.02909096966324416,0,1.1082561522395788e-4,0,8.952554194194732e-4,3.204231321105468e-4,0,0,0,0.03388271533366154,0,0,1.3805461337248625e-5,0.8683094798888373,0.012982312023217
0,0.05984858482171722,0,0,0.0012747097013860828,0,0.012780875980823826,0,0.7678776401314468,0,0.0012771864206931847,6.089810211377056e-4,2.7780867529183904e-4,0.017317724153833026,0.0018909201072522472,0.11732044017906537,0,0,3.4548110580393535e-4,0.008928290926205723,0.010251356775343036
0.006595417476591798,0.002708881791594411,0,0.005535097628865931,0,6.039999476805243e-4,0.004666410802131197,1.883980243756441e-4,0.09420072181171868,0,5.7234235801029596e-5,0.0017042330302404944,0,1.0859449179313113e-5,5.882825161667971e-5,0.006911375676654392,0,0.014750407847258258,0,0.8620081340262916,0
0,0,4.2051968215848256e-5,8.914781107483207e-4,0.0025642049037778174,0,0.9064446201551579,0,0.032590035810916476,0,0,4.1503562456126963e-4,0,0.01681559239864293,1.3244608651019493e-4,0.005468969130723294,0,3.5234338682344147e-4,8.917202908381749e-5,0,0.03419405039483859
0,0,0.08179074709900623,0.018282589573938964,0,2.0957921280386022e-4,0.1832507279569474,0.0031294530539017493,0.4688306094390034,1.4431506020128084e-4,6.77550836590867e-4,0.0013893992460219451,9.860289416806544e-4,0.010690628612627876,0.0019418958092648811,0.015985778676256862,0,0,0,0.21269069648175407,0
0,0.01932056692863754,0.02009408872346829,0,0.07999004743665104,0,0.2380085579034273,0,0.1369371043765786,0.035156093789119595,7.325706202131184e-4,0.004314389280676064,0,0.06365853118730569,3.176912411103406e-4,0.08378738911875704,0.29193437507165976,0,4.315399316289804e-4,0.025317054390766678,0
