Feature3,Feature4,Feature6,Feature7,Feature8,Feature9,Feature14,Feature20,Feature21,Feature22,Feature23,Feature24,Feature34,Feature38,Feature52,Feature58,Feature59,Feature61,Feature62,Feature65,Feature69,Feature81,Feature82,Feature96,Feature97,Feature100
0.004621138320545523,0.0032763341617471206,0,0.4077966413639939,0,6.534061146433955e-4,3.7718255362092357e-4,3.953557975671005e-5,0.002133479886774783,0,0.010233159269622654,6.923792138738522e-4,1.2999656772771592e-4,0.002017791190553686,2.8577182763108183e-5,0,0.0018276117665846432,0.4924933542587985,0.039792087522992146,0.0015711452458024616,3.0812025093518414e-4,0,0.017419771562264975,0.01458828798699871,0,0
0,0.002404963595495442,0,0.548990279977299,0,0,0,3.070133055233193e-5,0,0.001588106745214983,3.550007001522245e-4,1.8540841931297228e-4,0,0,0,0,2.660291749528765e-4,0.057626267887348565,0.21775285516313445,4.0047501356930764e-4,0.08227007111460023,0,0.0010420355956973092,0,0.050183759748520525,0.036904045534149735
0.006390510790285516,0.013599807978945078,0,0.7186638147830425,2.2858250492919644e-5,4.5845341041520204e-4,0.0050764456261572785,4.005074334980056e-5,0.00420396271839281,0.0012050770034297456,0.043976849970509775,0,0.005356412075664554,0,2.633434527499315e-4,0,0,0.04901005865005417,0.14653224576411283,0.0020768662312019154,0,0,0.003123242551195997,0,0,0
0.015966967050780496,0.2569473146978432,0,0.15896078477845954,0,0.0100317057126205,0,0,0.006955482588281232,0,0.009303170081452027,0.0020103968227093145,0,0.037310378858635106,0.005486240255290966,7.822729418356295e-4,0.0224829013524235,0.2893579722825029,0.005004745019743354,0.006996264481294569,0,0.10378011999291481,0.00897192018029335,0.05965136290291949,0,0
2.794842550675199e-4,0.0042440659670452624,6.389492717493718e-5,0.014722864578367441,0,0.0016764744750023422,0,0,0.004454452482092928,0,0.6880234880890458,6.845666275979457e-4,1.0841255041474388e-4,0.04846053932700958,3.675173425533793e-4,0,2.8297052295062453e-5,0,0.04811226405645483,0.001555097485543452,0.013047812922787056,7.539134498876191e-4,0.03207962023304355,0.00661888496490587,0.13471834921371073,0
0,0.004418641781712843,1.016406151119871e-4,0.010568911695422786,8.933491143080458e-5,5.463313434083515e-5,4.097010941966757e-5,0,0.005492261179542563,3.6539434252979793e-4,0.0011384042363705117,4.603573642642579e-5,3.3532862038858514e-6,0,0,2.4906352212898416e-6,3.04506550109862e-6,0.2667564532328576,2.792408752585065e-4,3.4797390882830294e-4,0.7039186098692106,0.0010163231826367794,6.276154972474087e-4,0,0.00472866670472621,0
0.002214650319729763,0,2.6215136150193308e-5,0.0032202507123035057,2.0882160039523604e-4,0,0,1.1604083107094846e-4,0,2.0259969101665514e-4,0.01814959494853218,1.1732974247145938e-4,0,0.0029314797882016566,9.619291517487728e-5,1.2225763658498312e-5,8.027454811029867e-5,0.8925330546210735,0.0031500954029058973,2.098252561924066e-4,0,0.006176989667444814,0,0.013663075479968118,3.616616101913199e-4,0.056529621965408686
5.927176252125385e-5,0.17754190082430096,2.1094838477958414e-4,0.15751245322524954,0.027410674113813115,0.04203282854118291,0.0021454891936953766,1.8928741210787984e-5,0.001350957091221848,0,0,0,0.00149426845311765,0.30068378872417867,0,1.644191878207656e-4,0.001847605740116157,0,0.03212417574536471,0.0012674347155765128,0,0.016222202607628248,0.15189362566213385,0,0.01415961075867536,0.07185941652741275
6.544462686453979e-5,0.0021078833917855954,0,0.09652813000268655,1.822718914897051e-4,7.607031682373449e-4,5.419907855451454e-4,6.834889752444275e-4,0.013959756871306498,3.347601858510391e-5,0.11646783382886271,2.488139263592538e-4,0,0,1.1575862433460161e-4,0,2.583701652697208e-4,0.7609452020087626,0.0019306224890175887,0,5.408965914294154e-4,0,0.002464547231657738,0,0,0.002164809402561505
0.0029478260858057798,0.0030735171857852604,1.5108698661299316e-4,5.273072398363463e-4,0.007297021148055122,0,4.38365040470513e-4,9.593557020276137e-5,0.009586812731966172,5.069690947803301e-4,0.005027352228668848,5.111804061911021e-5,3.873401555283664e-4,0,1.4770263009368008e-4,2.3104624829666583e-4,0.0011632262860772102,0.0955369871775872,0.8638696381381058,1.797245666976175e-4,0,0,0.003631602691321818,0,0,0.005149420753488457
